Name,Location,Score,reviews,salaries,interviews
b'Hoyt Archery',"b'Salt Lake City, UT'",b'3.2',b'13',b'7',b'--'
b'Community Housing Innovations',"b'White Plains, NY'",b'3.2',b'13',b'4',b'1'
b'Paris Accessories',"b'New York, NY'",b'3.0',b'13',b'10',b'2'
b'Ultrastar Cinemas',"b'Vista, CA'",b'3.0',b'13',b'12',b'3'
b'Bossier Parish Schools',"b'Benton, LA'",b'4.0',b'13',b'17',b'1'
b'Gulf Coast Tractor & Equipment',"b'Plant City, FL'",b'4.1',b'13',b'4',b'--'
b'Ann Arbor District Library',"b'Ann Arbor, MI'",b'3.4',b'13',b'6',b'8'
b'Yuma County Government',"b'Yuma, AZ'",b'3.3',b'13',b'10',b'3'
b'Delta Sigma Phi',"b'Indianapolis, IN'",b'4.4',b'13',b'2',b'--'
b'Joe Cooper Ford',"b'Shawnee, OK'",b'2.9',b'13',b'7',b'2'
b'FreemanWhite',"b'Charlotte, NC'",b'2.6',b'13',b'13',b'2'
b'Edelstein',"b'Boston, MA'",b'4.0',b'13',b'18',b'--'
b'Sellstate',"b'Malibu, CA'",b'3.1',b'13',b'7',b'3'
"b""Denny's""","b'Fort Myers, FL'",b'3.5',b'13',b'8',b'3'
b'Nurse-Family',"b'Plainview, NY'",b'1.7',b'13',b'7',b'1'
b'WPIX-TV',"b'Stow, OH'",b'2.7',b'13',b'10',b'3'
b'SCDMV',"b'Denver, CO'",b'3.5',b'13',b'12',b'3'
b'National',"b'New York, NY'",b'3.5',b'13',b'7',b'1'
b'WSMV-TV',"b'Nashville, TN'",b'1.8',b'13',b'5',b'--'
b'World',"b'Deerfield Beach, FL'",b'3.8',b'13',b'13',b'2'
b'AREA203',"b'Chattanooga, TN'",b'2.2',b'13',b'7',b'6'
b'CSDA',"b'San Francisco, CA'",b'3.6',b'13',b'8',b'2'
b'Keystone',"b'Lancaster, PA'",b'3.3',b'13',b'7',b'1'
b'Abilities',"b'Palo Alto, CA'",b'3.4',b'13',b'8',b'1'
b'Texas',"b'Houston, TX'",b'4.1',b'13',b'14',b'2'
b'Indiana',"b'Indianapolis, IN'",b'3.0',b'13',b'13',b'1'
b'Skyline',"b'Green Bay, WI'",b'4.0',b'13',b'18',b'--'
b'Pioneer',"b'Mapleton, MN'",b'3.4',b'13',b'10',b'1'
"b""That's Good HR""","b'Indianapolis, IN'",b'3.7',b'13',b'4',b'6'
b'Washington Duke Inn & Golf Club',"b'Durham, NC'",b'3.2',b'13',b'8',b'2'
b'Don Mcgill Toyota',"b'Houston, TX'",b'3.0',b'13',b'8',b'2'
b'Thomas Sign and Awning',"b'Clearwater, FL'",b'1.9',b'13',b'7',b'1'
b'Brandywine Technology',"b'Wilmington, DE'",b'4.4',b'13',b'9',b'4'
b'LBA Realty',"b'Irvine, CA'",b'3.0',b'13',b'21',b'3'
b'Peruzzi Auto Group',"b'Fairless Hills, PA'",b'2.3',b'13',b'8',b'2'
"b'Island Hospital - Anacortes, WA'","b'Anacortes, WA'",b'3.4',b'13',b'13',b'1'
b'Statesman Journal',"b'Salem, OR'",b'2.9',b'13',b'9',b'3'
b'Mighty Citizen',"b'Austin, TX'",b'3.9',b'13',b'8',b'2'
b'Shelby Baptist Medical Center',"b'Alabaster, AL'",b'2.9',b'13',b'11',b'1'
b'Toss Designs',"b'Ross, CA'",b'3.7',b'13',b'2',b'1'
b'The Gottman Institute',"b'Seattle, WA'",b'3.4',b'13',b'8',b'1'
b'Hotard Coaches',"b'New Orleans, LA'",b'2.8',b'13',b'7',b'2'
b'AFTRA-SAG Federal Credit Union',"b'Burbank, CA'",b'2.6',b'13',b'11',b'1'
b'US Army Space and Missile Defense Command',"b'Huntsville, AL'",b'3.8',b'13',b'6',b'1'
b'Flyer Enterprises',"b'Dayton, OH'",b'4.5',b'13',b'8',b'3'
b'OIR',"b'Tallahassee, FL'",b'3.5',b'13',b'14',b'1'
b'Merriweather Post Pavilion',"b'Columbia, MD'",b'4.3',b'13',b'14',b'7'
b'Miami New Times',"b'Miami, FL'",b'3.2',b'13',b'10',b'3'
b'Chef Geoff',"b'Washington, DC'",b'3.5',b'13',b'11',b'3'
"b""Ke'Aki Technologies""","b'Honolulu, HI'",b'3.3',b'13',b'9',b'3'
b'Nutter McClennen & Fish',"b'Boston, MA'",b'4.1',b'13',b'17',b'3'
b'Peoples Products',"b'Newington, CT'",b'3.7',b'13',b'7',b'3'
b'Tudi Mechanical',"b'Mc Kees Rocks, PA'",b'4.6',b'13',b'7',b'4'
b'ACE Clearwater Enterprises',"b'Torrance, CA'",b'2.5',b'13',b'9',b'1'
b'TLG Learning',"b'Bellevue, WA'",b'3.6',b'13',b'7',b'4'
b'Old Bag Of Nails',"b'Columbus, OH'",b'3.6',b'13',b'9',b'1'
b'Sibex',"b'Safety Harbor, FL'",b'1.8',b'13',b'6',b'--'
b'CMSD',"b'San Diego, CA'",b'3.9',b'13',b'13',b'4'
b'Harmar',"b'Sarasota, FL'",b'3.5',b'13',b'9',b'2'
b'RFC',"b'Charlottesville, VA'",b'3.9',b'13',b'12',b'--'
b'James',"b'Omaha, NE'",b'3.2',b'13',b'8',b'3'
b'Morris',"b'Savannah, GA'",b'2.1',b'13',b'13',b'1'
b'40|86',"b'Carmel, IN'",b'2.2',b'13',b'10',b'4'
b'Unanet',"b'Dulles, VA'",b'4.6',b'13',b'12',b'2'
b'COEM',"b'North Charleston, SC'",b'4.0',b'13',b'1',b'3'
b'Tecton',"b'Fargo, ND'",b'3.5',b'13',b'13',b'2'
b'Arbin',"b'College Station, TX'",b'3.3',b'13',b'30',b'5'
b'Kennedy',"b'New York, NY'",b'2.7',b'13',b'13',b'--'
b'Meister Seelig',"b'New York, NY'",b'3.7',b'13',b'9',b'3'
b'McKlein Company',"b'Chicago, IL'",b'3.1',b'13',b'6',b'6'
b'ChildNet Youth and Family Services',"b'Long Beach, CA'",b'4.0',b'13',b'13',b'1'
b'Lifelink Foundation',"b'Tampa, FL'",b'4.1',b'13',b'11',b'1'
